metric,test_used,n_paired,mean_ap1,mean_ap2,delta_ap2_minus_ap1,pct_change,p_value,effect_size_d,effect_magnitude,direction,improved,normality_p,p_value_fdr,significant_raw,significant_fdr
code_smells,wilcoxon,60,56.85,77.23333333333333,20.383333333333333,35.854588097332154,0.0510175111708561,0.2547046046343871,pequeño,lower_better,No,2.8141039377972952e-05,0.07288215881550872,False,False
bugs,wilcoxon,60,4.2,0.4666666666666667,-3.7333333333333334,-88.88888888888889,6.750677549799782e-05,-0.522881298839483,mediano,lower_better,Yes,2.2612286121556127e-09,0.00013501355099599565,True,True
vulnerabilities,wilcoxon,60,0.55,0.08333333333333333,-0.46666666666666673,-84.84848484848484,5.7016412756812285e-06,-0.7178647283931318,mediano,lower_better,Yes,1.5708884736617225e-07,1.900547091893743e-05,True,True
security_hotspots,wilcoxon,60,1.5333333333333334,1.6,0.06666666666666665,4.347826086956521,0.25609776039797016,0.033494571055161064,trivial,lower_better,No,1.5973081903957063e-06,0.28455306710885575,False,False
cognitive_complexity,wilcoxon,60,139.03333333333333,505.28333333333336,366.25,263.4260369216015,5.599566107138904e-07,0.7383222843511643,mediano,lower_better,No,0.0002378381905781012,5.599566107138903e-06,True,True
complexity,paired_t,60,456.78333333333336,436.6166666666667,-20.166666666666686,-4.414930492210023,0.7323042913397362,-0.04436966290327,trivial,lower_better,Yes,0.3742626203135603,0.7323042913397362,False,False
ncloc,wilcoxon,60,3499.766666666667,7281.85,3782.0833333333335,108.06672825807435,9.387557007681056e-06,0.6499011018566572,mediano,neutral,Neutral,0.0026198928499778736,2.3468892519202638e-05,True,True
reliability_rating,wilcoxon,60,2.2666666666666666,1.4333333333333333,-0.8333333333333333,-36.764705882352935,0.00038288454300815705,-0.5327965928868539,mediano,lower_better,Yes,4.170922199168928e-05,0.0006381409050135951,True,True
security_rating,wilcoxon,60,2.933333333333333,1.2333333333333334,-1.6999999999999997,-57.954545454545446,3.161457000422981e-06,-0.7506551445686731,mediano,lower_better,Yes,9.985409398204703e-09,1.5807285002114905e-05,True,True
open_issues,wilcoxon,60,61.6,77.78333333333333,16.18333333333333,26.271645021645018,0.13013118423801243,0.19529586152834455,trivial,lower_better,No,3.1510244842949776e-05,0.16266398029751553,False,False
